59,Buy or sell - Jayson Tatum is already too good to trade for AD,"Andre Snellings, ESPN",Should Tatum already be off the table in potential trade talks?,2019-02-27T14:17:00Z,http://insider.espn.com/nba/insider/story/_/id/26088029/buy-sell-jayson-tatum-already-too-good-trade-ad
60,Smart: Celtics 'just not together' in recent slide,"Kevin Arnovitz, ESPN Staff Writer","After Tuesday's blowout loss to the Raptors, Marcus Smart said he sees a Boston team that is ""just not together"" as compared to recent Celtics teams.",2019-02-27T06:00:05Z,http://www.espn.com/nba/story/_/id/26089612/celtics-just-not-together-recent-slide
61,Siakam scores 25 as Raptors rout slumping Celtics 118-95,Associated Press,"Pascal Siakam scored 25 points, Kawhi Leonard had 21 and the Toronto Raptors used a huge second quarter to rout the struggling Boston Celtics 118-95 on Tuesday night.",2019-02-27T03:38:34Z,http://www.espn.com/nba/recap?gameId=401071582
62,"Lillard has 33, Blazers hand Celtics 4th straight loss",Associated Press,Damian Lillard scored 21 of his 33 points in the second half and the Portland Trail Blazers beat Boston 97-92 on Wednesday night for the Celtics' fourth straight loss.,2019-02-28T03:57:08Z,http://www.espn.com/nba/preview?gameId=401071586
63,"LeBron's 33 send Lakers past Davis' Pelicans, 125-119",Associated Press,"LeBron James scored 33 points, Brandon Ingram added 23 and the Los Angeles Lakers weathered strong performances by Anthony Davis and Julius Randle for a 125-119 victory over the New Orleans Pelicans on Wednesday night.",2019-02-28T08:07:25Z,http://www.espn.com/nba/preview?gameId=401071594
64,"Jokic scores 36 points, Denver beats Thunder 121-112",Associated Press,"Nikola Jokic scored 36 points, including five free throws in the final moments, and the Denver Nuggets fended off Oklahoma City's late rally for a 121-112 victory Tuesday night in a matchup between two of the top three teams in the Western Conference...",2019-02-27T06:36:34Z,http://www.espn.com/nba/recap?gameId=401071583
65,Knicks reserves key 108-103 win over Magic,Associated Press,"Emmanuel Mudiay, Mitchell Robinson and the rest of the New York Knicks' backups outscored the Orlando Magic's reserves by a whopping 75-7 in a 108-103 win on Tuesday night at Madison Square Garden.",2019-02-27T03:26:34Z,http://www.espn.com/nba/recap?gameId=401071581
66,Bledsoe has triple-double as Bucks edge Kings 141-140 in OT,Associated Press,"Eric Bledsoe scored five of his 26 points in overtime when Milwaukee played all but the final 12 seconds without Giannis Antetokounmpo, and the Bucks beat the Sacramento Kings 141-140 on Wednesday night.",2019-02-28T08:07:11Z,http://www.espn.com/nba/preview?gameId=401071593
67,"Mitchell scores 32, Jazz beat Clippers 111-105",Associated Press,"Donovan Mitchell scored 32 points, Rudy Gobert had 20 points and 13 rebounds, and the Utah Jazz beat the Los Angeles Clippers 111-105 on Wednesday night.",2019-02-28T04:48:54Z,http://www.espn.com/nba/preview?gameId=401071592
68,Doncic helps Mavs beat Pacers in final game as teen,Associated Press,"Luka Doncic had 26 points and 10 rebounds in his final game as a teenager, fellow rookie Jalen Brunson scored a season-high 24 points, and the Mavericks ended a five-game losing streak with a 110-101 victory over the Pacers on Wednesday.",2019-02-28T04:10:39Z,http://www.espn.com/nba/preview?gameId=401071591
69,NBA adds sportsbook partner in Australia,"David Purdum, ESPN Staff Writer","The NBA announced a partnership with Australian sportsbook BetEasy on Tuesday, as the league continues to expand its relationships with sports betting providers worldwide.",2019-02-27T00:41:17Z,http://www.espn.com/chalk/story/_/id/26087773/nba-adds-sportsbook-partner-australia
70,"Aldridge helps Spurs beat Pistons in return home, 105-93",Associated Press,"LaMarcus Aldridge scored 24 points, DeMar DeRozan had 17 points and 13 points, and the San Antonio Spurs returned home after a 25-day absence to beat the Detroit Pistons 105-93 on Wednesday night and snap a three-game skid.",2019-02-28T04:02:39Z,http://www.espn.com/nba/preview?gameId=401071590
71,Blazers stuck in Boston elevator for 30 minutes,ESPN,Around eight members of the Portland Trail Blazers were trapped in a Boston elevator for about 30 minutes ahead of Wednesday night's game against the Celtics. The players eventually crawled out of the elevator to cheers from bystanders.,2019-02-26T20:26:22Z,http://www.espn.com/nba/story/_/id/26086207/blazers-stuck-boston-elevator-30-minutes
72,"LaVine's 30 points lead Chicago past Memphis, 109-107",Associated Press,Zach LaVine scored 12 of his 30 points in the fourth quarter and the Chicago Bulls held on to beat the Memphis Grizzlies 109-107 on Wednesday night.,2019-02-28T03:54:41Z,http://www.espn.com/nba/preview?gameId=401071589
73,Source: NBA lifts Cousins' tech for thrown shoe,"Nick Friedell, ESPN Staff Writer","The league has rescinded the technical foul issued to the Warriors' DeMarcus Cousins for tossing an opponent's shoe off the floor Monday night, a source confirmed to ESPN.",2019-02-26T23:14:00Z,http://www.espn.com/nba/story/_/id/26087306/nba-lifts-cousins-tech-thrown-shoe
74,Ex-NBA player Mike Bibby under investigation for sexual abuse,Associated Press,Ex-NBA player Mike Bibby has been terminated from his coaching position at Shadow Mountain High School while police investigate sexual abuse and harassment allegations from a teacher.,2019-02-26T16:00:24Z,http://www.espn.com/nba/story/_/id/26084517/ex-nba-player-mike-bibby-investigation-sexual-abuse
75,"Embiid, Marjanovic both ruled out for OKC game",ESPN,Joel Embiid will miss his fourth straight game as the Sixers say continuing knee soreness will keep the All-Star center from playing Thursday night at Oklahoma City. Backup center Boban Marjanovic was also ruled out of the game with a mild knee sprain.,2019-02-26T21:02:42Z,http://www.espn.com/nba/story/_/id/26086389/embiid-marjanovic-ruled-okc-game
76,Wade called game: 3-pointer gets Heat past Warriors,Associated Press,"Dwyane Wade hit a buzzer-beating 3-pointer off the glass as time expired, and the Heat wasted a 24-point lead before rallying to beat the Warriors 126-125 on Wednesday night.",2019-02-28T03:28:49Z,http://www.espn.com/nba/preview?gameId=401071588
